,Locality,Price_per_sft,Area,Property_Type,BHK number,
132,Kollur,5500,2455,  Apartment,3,
133,Kollur,5500,1855,  Apartment,3,
134,Kollur,5500,1655,  Apartment,3,
135,Tellapur,7299,3569,  Independent House,4,
136,Tellapur,7299,1687,  Apartment,3,
137,Tellapur,7299,5783,  Apartment,5,
138,Tellapur,7299,2132,  Apartment,3,
139,Tellapur,7299,6374,  Apartment,5,
140,Tellapur,7299,6371,  Apartment,5,
141,Tellapur,7299,7674,  Apartment,5,
142,Tellapur,7299,5036,  Independent House,4,
143,Tellapur,7299,1874,  Apartment,3,
144,Tellapur,7299,5303,  Apartment,5,
145,Tellapur,7299,2191,  Apartment,3,
146,Tellapur,7299,3942,  Independent House,4,
147,Tellapur,7299,1792,  Apartment,3,
148,Tellapur,7299,6434,  Apartment,5,
149,Tellapur,7299,2208,  Apartment,3,
150,Manchirevula,6830,1320,  Apartment,2,
151,Manchirevula,6832,1315,  Apartment,2,
152,Manchirevula,6700,1750,  Apartment,3,
153,Manchirevula,6658,1955,  Apartment,3,
154,Manchirevula,6684,1820,  Apartment,3,
155,Manchirevula,6657,1960,  Apartment,3,
156,Manchirevula,6627,2140,  Apartment,3,
157,Manchirevula,6633,2100,  Apartment,3,
158,Manchirevula,6734,1610,  Apartment,3,
159,Ameenpur,5700,1480,  Apartment,3,
160,Tellapur,7299,2150,  Apartment,3,
161,Tellapur,7299,4945,  Apartment,5,
162,Tellapur,7299,5467,  Apartment,5,
163,Patighanpur,5999,1285,  Apartment,2,
164,Narsingi,7499,2255,  Apartment,3,
165,Patighanpur,5999,1585,  Apartment,3,
166,Gandipet,8699,2040,  Apartment,3,
167,Patighanpur,5999,1585,  Apartment,3,
168,Gandipet,8699,2540,  Apartment,3,
169,Patighanpur,5999,1700,  Apartment,3,
170,Narsingi,7499,1325,  Apartment,2,
171,Gandipet,8699,1765,  Apartment,3,
172,Patighanpur,5999,1700,  Apartment,3,
173,Gundlapochampally,4200,2232,  Apartment,4,
174,Bachupally,12000,3770,  Villa,4,
175,Bachupally,12000,3400,  Villa,4,
176,Bachupally,12000,3400,  Villa,4,
177,Bachupally,12000,3770,  Villa,4,
178,Bachupally,12000,3770,  Villa,4,
179,Bachupally,12000,3095,  Villa,4,
180,Bachupally,12000,3095,  Villa,4,
181,Bachupally,12000,3820,  Villa,4,
182,Bachupally,12000,3820,  Villa,4,
183,Bachupally,12000,3675,  Villa,4,
184,Bachupally,12000,3675,  Villa,4,
185,Bachupally,12000,3075,  Villa,4,
186,Bachupally,12000,3075,  Villa,4,
187,Bachupally,12000,3865,  Villa,4,
188,Bachupally,12000,3865,  Villa,4,
189,Patancheru,4500,1355,  Apartment,3,
190,Patancheru,4500,1125,  Apartment,2,
191,Attapur,7499,1825,  Apartment,3,
192,Attapur,7500,4706,  Apartment,4,
193,Attapur,7500,4706,  Apartment,4,
194,Attapur,7502,2350,  Apartment,3,
195,Attapur,7502,2350,  Apartment,3,
196,Attapur,7499,1825,  Apartment,3,
197,Attapur,7499,1825,  Apartment,3,
198,Attapur,7503,1600,  Apartment,3,
199,Attapur,7503,1600,  Apartment,3,
200,Attapur,7502,1840,  Apartment,3,
201,Attapur,7502,1840,  Apartment,3,
202,Begumpet,7800,3400,  Independent House,4,
203,Begumpet,7800,3400,  Independent House,4,
204,Begumpet,7800,3400,  Independent House,4,
205,Begumpet,7800,3400,  Independent House,4,
206,Begumpet,7800,3000,  Independent House,4,
207,Begumpet,7800,3000,  Independent House,4,
208,Begumpet,7800,1800,  Apartment,3,
209,Begumpet,7800,1800,  Apartment,3,
210,Begumpet,7800,1700,  Apartment,3,
211,Begumpet,7800,1700,  Apartment,3,
212,Begumpet,7800,1500,  Apartment,3,
213,Begumpet,7800,1500,  Apartment,3,
214,Begumpet,7800,1200,  Apartment,2,
215,Begumpet,7800,1200,  Apartment,2,
216,Begumpet,7800,1100,  Apartment,2,
217,Begumpet,7800,1100,  Apartment,2,
218,Begumpet,7800,3600,  Independent House,4,
219,Begumpet,7800,3600,  Independent House,4,
220,Pragathi Nagar Kukatpally,4727,1100,  Apartment,2,
221,Pragathi Nagar Kukatpally,5188,1060,  Apartment,2,
222,Pragathi Nagar Kukatpally,4684,1110,  Apartment,2,
223,Pragathi Nagar Kukatpally,4774,1110,  Apartment,2,
224,Pragathi Nagar Kukatpally,4472,1185,  Apartment,2,
225,Pragathi Nagar Kukatpally,3700,1000,  Apartment,2,
226,Pragathi Nagar Kukatpally,4472,1185,  Apartment,2,
227,Pragathi Nagar Kukatpally,3500,1000,  Apartment,2,
228,Pragathi Nagar Kukatpally,3700,1000,  Apartment,2,
229,Pragathi Nagar Kukatpally,4518,1195,  Apartment,2,
230,Bowrampet,3700,1000,  Apartment,2,
231,Bowrampet,3700,1000,  Apartment,2,
232,Bowrampet,3700,1000,  Apartment,2,
233,Pragathi Nagar Kukatpally,4727,1100,  Apartment,2,
234,Kompally,6141,2524,  Villa,3,
235,Pragathi Nagar Kukatpally,4818,1100,  Apartment,2,
236,Bachupally,3826,1150,  Apartment,2,
237,Bowrampet,7046,2370,  Villa,3,
238,Pragathi Nagar Kukatpally,5398,1130,  Apartment,2,
239,Mamidipally,12000,6125,  Villa,4,
240,Mamidipally,12000,6105,  Villa,4,
241,Pragathi Nagar Kukatpally,5045,1110,  Apartment,2,
242,Pragathi Nagar Kukatpally,4800,1195,  Apartment,2,
243,Kukatpally,5500,2000,  Apartment,3,
244,Kukatpally,5677,1060,  Apartment,2,
245,Nizampet,5522,1800,  Apartment,2,
246,Pragathi Nagar Kukatpally,4156,1600,  Apartment,3,
247,Pragathi Nagar Kukatpally,4721,1165,  Apartment,2,
248,Pragathi Nagar Kukatpally,4250,1200,  Apartment,2,
249,Pragathi Nagar Kukatpally,5000,1160,  Apartment,2,
250,Pragathi Nagar Kukatpally,3957,1415,  Apartment,3,
251,Jeedimetla,5500,1965,  Apartment,3,
252,Jeedimetla,5500,1965,  Apartment,3,
253,Jeedimetla,5500,1900,  Apartment,3,
254,Jeedimetla,5500,1900,  Apartment,3,
255,Jeedimetla,5500,1675,  Apartment,3,
256,Jeedimetla,5500,1675,  Apartment,3,
257,Jeedimetla,5500,1965,  Apartment,3,
258,Jeedimetla,5500,1965,  Apartment,3,
259,Jeedimetla,5500,1900,  Apartment,3,
260,Jeedimetla,5500,1900,  Apartment,3,
261,Jeedimetla,5500,1675,  Apartment,3,
262,Jeedimetla,5500,1675,  Apartment,3,
263,Jeedimetla,5500,2010,  Apartment,3,
264,Jeedimetla,5500,2010,  Apartment,3,
265,Jeedimetla,5500,1780,  Apartment,3,
266,Jeedimetla,5500,1780,  Apartment,3,
267,Jeedimetla,5500,1990,  Apartment,3,
268,Jeedimetla,5500,1990,  Apartment,3,
269,Jeedimetla,5500,1760,  Apartment,3,
270,Jeedimetla,5500,1760,  Apartment,3,
271,Jeedimetla,5500,1560,  Apartment,3,
272,Jeedimetla,5500,1560,  Apartment,3,
273,Jeedimetla,5500,1235,  Apartment,2,
274,Jeedimetla,5500,1235,  Apartment,2,
275,Jeedimetla,5500,1665,  Apartment,3,
276,Jeedimetla,5500,1665,  Apartment,3,
277,Saroor Nagar,6999,2283,  Apartment,3,
278,Saroor Nagar,6999,2555,  Apartment,3,
279,Saroor Nagar,6999,2550,  Apartment,3,
280,Saroor Nagar,6999,1650,  Apartment,3,
281,Saroor Nagar,6999,2250,  Apartment,3,
282,Saroor Nagar,6999,1950,  Apartment,3,
283,Saroor Nagar,6999,1953,  Apartment,3,
284,Saroor Nagar,6999,2267,  Apartment,3,
285,Saroor Nagar,6999,1693,  Apartment,3,
286,Saroor Nagar,6999,1669,  Apartment,3,
287,Saroor Nagar,6999,1342,  Apartment,2,
288,Saroor Nagar,6999,2004,  Apartment,3,
289,Saroor Nagar,6999,1340,  Apartment,2,
290,Saroor Nagar,6999,2352,  Apartment,3,
291,Saroor Nagar,6999,1338,  Apartment,2,
292,Saroor Nagar,6999,1676,  Apartment,3,
293,Saroor Nagar,6999,1983,  Apartment,3,
294,Saroor Nagar,6999,1652,  Apartment,3,
295,Uppal Kalan,6099,2350,  Apartment,3,
296,Saroor Nagar,6999,3950,  Apartment,4,
297,Uppal Kalan,6099,2120,  Apartment,3,
298,Saroor Nagar,6999,4079,  Apartment,4,
299,Uppal Kalan,6099,1820,  Apartment,3,
300,Saroor Nagar,6999,1330,  Apartment,2,
301,Uppal Kalan,6099,1235,  Apartment,2,
302,Gagillapur,5965,2280,  Villa,3,
303,Gagillapur,5984,2490,  Villa,3,
304,Gagillapur,6000,2100,  Villa,3,
305,Gagillapur,5970,2010,  Villa,3,
306,Gagillapur,5984,2390,  Villa,3,
307,Gagillapur,5992,2470,  Villa,3,
308,Hayathnagar,7480,2540,  Villa,4,
309,Hayathnagar,7480,2540,  Villa,4,
310,Hayathnagar,7469,2865,  Villa,4,
311,Hayathnagar,7469,2865,  Villa,4,
312,Hayathnagar,7485,2525,  Villa,4,
313,Hayathnagar,7485,2525,  Villa,4,
314,Hayathnagar,7494,2215,  Villa,4,
315,Hayathnagar,7494,2215,  Villa,4,
316,Bowrampet,5500,1375,  Apartment,2,
317,Bowrampet,5500,1840,  Apartment,3,
318,Bowrampet,5500,1705,  Apartment,3,
319,Bowrampet,5500,1380,  Apartment,3,
320,Bowrampet,5500,1945,  Apartment,3,
321,Bowrampet,5500,1295,  Apartment,2,
322,Bowrampet,5500,2055,  Apartment,3,
323,Bowrampet,5500,1430,  Apartment,3,
324,Bowrampet,5500,1395,  Apartment,3,
325,Kollur,6999,1100,  Villa,2,
326,Rudraram,5000,1320,  Villa,2,
327,Kokapet,10343,3036,  Apartment,4,
328,Kokapet,11551,5266,  Apartment,5,
329,Kokapet,10834,4187,  Apartment,4,
330,Jeedimetla,5400,1503,  Apartment,2,
331,Jeedimetla,5400,1775,  Apartment,3,
332,Jeedimetla,5400,1948,  Apartment,3,
333,Jeedimetla,5400,1888,  Apartment,3,
334,Jeedimetla,5400,1421,  Apartment,2,
335,Jeedimetla,5400,1832,  Apartment,3,
336,Jeedimetla,5400,2000,  Apartment,3,
337,Jeedimetla,5400,1473,  Apartment,2,
338,Jeedimetla,5400,1745,  Apartment,3,
339,Jeedimetla,5400,2049,  Apartment,3,
340,Jeedimetla,5400,1850,  Apartment,3,
341,Jeedimetla,5400,1325,  Apartment,2,
342,Jeedimetla,5400,1456,  Apartment,2,
343,Jeedimetla,5400,1586,  Apartment,2,
344,Jeedimetla,5400,1398,  Apartment,2,
345,Jeedimetla,5400,1329,  Apartment,2,
346,Sainikpuri,6300,2130,  Apartment,3,
347,Sainikpuri,6300,2140,  Apartment,3,
348,Rajendra Nagar,7224,1221,  Apartment,3,
349,Rajendra Nagar,7347,980,  Apartment,2,
350,Rajendra Nagar,7204,930,  Apartment,2,
351,Rajendra Nagar,8947,380, RK Studio Apartment,1,
352,Kollur,6500,3200,  Independent House,3,
353,Ramachandrapuram,5500,4614,  Villa,4,
354,Ramachandrapuram,5500,4164,  Villa,4,
355,Ramachandrapuram,5500,4161,  Villa,4,
356,Hitech City,8900,2810,  Apartment,3,
357,Hitech City,8900,3600,  Apartment,3,
358,Hitech City,8900,4140,  Apartment,4,
359,Hitech City,8900,3590,  Apartment,4,
360,Hitech City,8900,2290,  Apartment,3,
361,Hitech City,8900,2815,  Apartment,3,
362,Hitech City,8900,3580,  Apartment,4,
363,Hitech City,8900,2835,  Apartment,3,
364,Hitech City,8900,4200,  Apartment,4,
365,Hitech City,8900,2265,  Apartment,3,
366,Hitech City,8900,4170,  Apartment,4,
367,Hitech City,8900,2540,  Apartment,3,
368,Hitech City,8900,2535,  Apartment,3,
369,Hitech City,8900,2270,  Apartment,3,
370,Hitech City,8900,4530,  Apartment,5,
371,Hitech City,8900,2480,  Apartment,3,
372,Hitech City,8900,3005,  Apartment,3,
373,Hitech City,8900,5080,  Apartment,5,
374,Hitech City,8900,2225,  Apartment,3,
375,Hitech City,8900,4540,  Apartment,5,
376,Hitech City,8900,3030,  Apartment,3,
377,Hitech City,8900,2980,  Apartment,3,
378,Hitech City,8900,7200,  Apartment,5,
379,Hitech City,8900,2205,  Apartment,3,
380,Hitech City,8900,4410,  Apartment,4,
381,Hitech City,8900,3205,  Apartment,3,
382,Hitech City,8900,2410,  Apartment,3,
383,Hitech City,8900,3220,  Apartment,3,
384,Hitech City,8900,2125,  Apartment,3,
385,Hitech City,8900,2385,  Apartment,3,
386,Hitech City,8900,2400,  Apartment,3,
387,Hitech City,8900,6010,  Apartment,5,
388,Hitech City,8900,4450,  Apartment,5,
389,Hitech City,8900,4800,  Apartment,4,
390,Hitech City,8900,2100,  Apartment,3,
391,Hitech City,8900,3640,  Apartment,4,
392,Hitech City,8900,4770,  Apartment,5,
393,Hitech City,8900,6440,  Apartment,4,
394,Hitech City,8900,4845,  Apartment,4,
395,Hitech City,8900,3680,  Apartment,4,
396,Hitech City,8900,6410,  Apartment,5,
397,Hitech City,8900,3935,  Apartment,4,
398,Narsingi,6999,2150,  Apartment,3,
399,Narsingi,6999,2170,  Apartment,3,
400,Narsingi,6999,2550,  Apartment,3,
401,Narsingi,6999,2020,  Apartment,3,
402,Narsingi,6999,1760,  Apartment,3,
403,Narsingi,6999,2450,  Apartment,3,
404,Narsingi,6999,2220,  Apartment,3,
405,Narsingi,6999,2100,  Apartment,3,
406,Narsingi,6999,1610,  Apartment,3,
407,Narsingi,6999,2110,  Apartment,3,
408,Narsingi,6999,2600,  Apartment,3,
409,Narsingi,6999,2190,  Apartment,3,
410,Narsingi,6999,1920,  Apartment,3,
411,Narsingi,6999,3030,  Apartment,3,
412,Kukatpally,8000,2090,  Apartment,3,
413,Kukatpally,8000,2100,  Apartment,3,
414,Kukatpally,8000,2100,  Apartment,3,
415,Kukatpally,8000,1810,  Apartment,3,
416,Kukatpally,8000,1810,  Apartment,3,
417,Kukatpally,8000,2760,  Apartment,3,
418,Kukatpally,8000,2760,  Apartment,3,
419,Kukatpally,8000,1940,  Apartment,3,
420,Kukatpally,8000,1940,  Apartment,3,
421,Kukatpally,8000,2075,  Apartment,3,
422,Kukatpally,8000,2075,  Apartment,3,
423,Kukatpally,8000,2285,  Apartment,3,
424,Kukatpally,8000,2285,  Apartment,3,
425,Kukatpally,8000,2830,  Apartment,3,
426,Kukatpally,8000,2830,  Apartment,3,
427,Kukatpally,8000,2300,  Apartment,3,
428,Kukatpally,8000,2300,  Apartment,3,
429,Kukatpally,8000,1775,  Apartment,3,
430,Kukatpally,8000,1775,  Apartment,3,
431,Kukatpally,8000,3205,  Apartment,3,
432,Kukatpally,8000,3205,  Apartment,3,
433,Kukatpally,8000,1750,  Apartment,3,
434,Kukatpally,8000,1750,  Apartment,3,
435,Kukatpally,8000,1955,  Apartment,3,
436,Kukatpally,8000,1955,  Apartment,3,
437,Kukatpally,8000,2405,  Apartment,3,
438,Kukatpally,8000,2405,  Apartment,3,
439,Kukatpally,8000,2090,  Apartment,3,
440,Shamshabad,6071,1285,  Apartment,2,
441,Shamshabad,6091,1420,  Apartment,2,
442,Shamshabad,6091,1420,  Apartment,2,
443,Shamshabad,6167,1680,  Apartment,3,
444,Shamshabad,6167,1680,  Apartment,3,
445,Shamshabad,6179,1625,  Apartment,3,
446,Shamshabad,6179,1625,  Apartment,3,
447,Shamshabad,6087,1440,  Apartment,2,
448,Shamshabad,6087,1440,  Apartment,2,
449,Pragathi Nagar Kukatpally,4818,1100,  Apartment,2,
450,Sultanpur,4818,1100,  Apartment,2,
451,Pragathi Nagar Kukatpally,4774,1110,  Apartment,2,
452,Pragathi Nagar Kukatpally,4800,1195,  Apartment,2,
453,Hyder Nagar,5203,1595,  Apartment,3,
454,Pragathi Nagar Kukatpally,5605,1310,  Apartment,2,
455,Pragathi Nagar Kukatpally,5087,1140,  Apartment,2,
456,Pragathi Nagar Kukatpally,4105,1510,  Apartment,3,
457,Pragathi Nagar Kukatpally,5175,1140,  Apartment,2,
458,Pragathi Nagar Kukatpally,4861,1440,  Apartment,3,
459,Bachupally,7067,2377,  Villa,3,
460,Manikonda,6200,1570,  Apartment,3,
461,Manikonda,6200,1210,  Apartment,2,
462,Manikonda,6200,1510,  Apartment,3,
463,Manikonda,6200,1175,  Apartment,2,
464,Manikonda,6200,1480,  Apartment,3,
465,Manikonda,6200,1545,  Apartment,3,
466,Manikonda,6200,1515,  Apartment,3,
467,Manikonda,6200,1560,  Apartment,3,
468,Manikonda,6200,1500,  Apartment,3,
469,Jeedimetla,5800,1840,  Apartment,3,
470,Jeedimetla,5800,1510,  Apartment,3,
471,Jeedimetla,5800,1975,  Apartment,3,
472,Jeedimetla,5800,1910,  Apartment,3,
473,Jeedimetla,5800,2040,  Apartment,3,
474,Jeedimetla,5800,2910,  Apartment,4,
475,Jeedimetla,5800,1980,  Apartment,3,
476,Jeedimetla,5800,2030,  Apartment,3,
477,Jeedimetla,5800,1100,  Apartment,2,
478,Jeedimetla,5800,1830,  Apartment,3,
479,Jeedimetla,5800,1230,  Apartment,2,
480,Jeedimetla,5800,1605,  Apartment,3,
