,Locality,Price_per_sft,Area,Property_Type,BHK number,
2384,Nanakramguda,8199,2210,  Apartment,3,
2385,Tellapur,6500,2000,  Apartment,3,
2386,Tellapur,6500,2000,  Apartment,3,
2387,Tellapur,6500,2355,  Apartment,3,
2388,Tellapur,6500,2355,  Apartment,3,
2389,Tellapur,6500,2000,  Apartment,3,
2390,Tellapur,6500,2000,  Apartment,3,
2391,Tellapur,6500,2355,  Apartment,3,
2392,Tellapur,6500,2355,  Apartment,3,
2393,Tellapur,6500,1845,  Apartment,3,
2394,Tellapur,6500,1845,  Apartment,3,
2395,Tellapur,6500,2115,  Apartment,3,
2396,Tellapur,6500,2115,  Apartment,3,
2397,Tellapur,6500,1625,  Apartment,3,
2398,Tellapur,6500,1625,  Apartment,3,
2399,Tellapur,6475,1390,  Apartment,2,
2400,Tellapur,6475,1390,  Apartment,2,
2401,Tellapur,6500,2700,  Apartment,3,
2402,Tellapur,6500,2700,  Apartment,3,
2403,Malkajgiri,5333,2250,  Independent House,4,
2404,AS Rao Nagar,8148,1350,  Independent House,2,
2405,Pragathi Nagar Kukatpally,6491,2850,  Independent House,4,
2406,Kollur,5019,1295,  Apartment,2,
2407,Shamshabad,9145,3499,  Villa,4,
2408,Miyapur,7628,1573,  Apartment,3,
2409,Harshaguda,8250,4000,  Villa,4,
2410,Bachupally,4948,2021,  Apartment,4,
2411,Bachupally,4948,2021,  Apartment,4,
2412,Miyapur,5173,1353,  Apartment,3,
2413,Nagulapalli,2882,1145,  Apartment,2,
2414,Bachupally,5999,1184,  Apartment,2,
2415,Bachupally,5999,1407,  Apartment,2,
2416,Bachupally,5999,1943,  Apartment,3,
2417,Bachupally,5999,1700,  Apartment,3,
2418,Kokapet,13051,3333,  Apartment,4,
2419,Kokapet,13051,3333,  Apartment,4,
2420,Kokapet,13051,3333,  Apartment,4,
2421,Kokapet,13051,3333,  Apartment,4,
2422,Kokapet,9796,2552,  Apartment,3,
2423,Kokapet,9796,2552,  Apartment,3,
2424,Kokapet,11550,3030,  Apartment,4,
2425,Kokapet,11550,3030,  Apartment,4,
2426,Kokapet,12186,3939,  Apartment,4,
2427,Kokapet,12186,3939,  Apartment,4,
2428,Patighanpur,5802,1885,  Apartment,3,
2429,Patighanpur,5802,1885,  Apartment,3,
2430,Patighanpur,5799,1285,  Apartment,2,
2431,Patighanpur,5799,1285,  Apartment,2,
2432,Patighanpur,5802,1885,  Apartment,3,
2433,Patighanpur,5802,1885,  Apartment,3,
2434,Patighanpur,5799,1285,  Apartment,2,
2435,Patighanpur,5799,1285,  Apartment,2,
2436,Patighanpur,5799,1585,  Apartment,3,
2437,Patighanpur,5799,1585,  Apartment,3,
2438,Patighanpur,5799,1700,  Apartment,3,
2439,Patighanpur,5799,1700,  Apartment,3,
2440,Kondapur,7123,1825,  Apartment,3,
2441,Moti Nagar,8844,1583,  Apartment,3,
2442,Moti Nagar,8844,1583,  Apartment,3,
2443,Moti Nagar,8844,1583,  Apartment,3,
2444,Moti Nagar,8844,1583,  Apartment,3,
2445,Kollur,4500,1250,  Apartment,2,
2446,Shadnagar,1384,2600,  Villa,3,
2447,Kollur,4500,1850,  Apartment,3,
2448,Kollur,4500,1250,  Apartment,2,
2449,Kollur,4500,1850,  Apartment,3,
2450,Kompally,4795,1220,  Apartment,2,
2451,Kompally,4797,1185,  Apartment,2,
2452,Kompally,4698,1220,  Apartment,2,
2453,Kompally,4699,1225,  Apartment,2,
2454,Kompally,4699,1550,  Apartment,3,
2455,Kompally,4699,1515,  Apartment,3,
2456,Gundlapochampally,4299,1160,  Apartment,2,
2457,Bachupally,5000,1250,  Apartment,2,
2458,Manikonda,6700,1220,  Apartment,2,
2459,Bachupally,5003,1267,  Apartment,2,
2460,Manikonda,6700,1220,  Apartment,2,
2461,Manikonda,6700,1220,  Apartment,2,
2462,Manikonda,6677,1220,  Apartment,2,
2463,Manikonda,6700,1580,  Apartment,3,
2464,Manikonda,6700,1630,  Apartment,3,
2465,Manikonda,6699,1615,  Apartment,3,
2466,Manikonda,6693,1580,  Apartment,3,
2467,Manikonda,6692,1270,  Apartment,2,
2468,Manikonda,6700,1295,  Apartment,2,
2469,Manikonda,6700,1330,  Apartment,2,
2470,Manikonda,6692,1270,  Apartment,2,
2471,Manikonda,6699,1580,  Apartment,3,
2472,Bachupally,5063,1580,  Apartment,3,
2473,Bachupally,5005,1678,  Apartment,3,
2474,Manikonda,6700,1220,  Apartment,2,
2475,Bachupally,4998,1200,  Apartment,2,
2476,Bachupally,4999,1233,  Apartment,2,
2477,Bachupally,4999,1580,  Apartment,3,
2478,Manikonda,6700,1270,  Apartment,2,
2479,Manikonda,7055,1630,  Apartment,2,
2480,Manikonda,6700,1580,  Apartment,3,
2481,Miyapur,6800,2004,  Apartment,3,
2482,Miyapur,6800,1711,  Apartment,3,
2483,Miyapur,6800,1940,  Apartment,3,
2484,Miyapur,6800,1985,  Apartment,3,
2485,Miyapur,6800,1620,  Apartment,3,
2486,Miyapur,6800,2004,  Apartment,3,
2487,Miyapur,6800,1590,  Apartment,3,
2488,Miyapur,6800,1711,  Apartment,3,
2489,Miyapur,6800,1940,  Apartment,3,
2490,Miyapur,6800,1985,  Apartment,3,
2491,Miyapur,6800,1620,  Apartment,3,
2492,Miyapur,6800,2060,  Apartment,3,
2493,Miyapur,6800,1688,  Apartment,3,
2494,Kompally,3200,2951,  Apartment,3,
2495,Kompally,3200,2682,  Apartment,3,
2496,Kompally,3200,4036,  Apartment,4,
2497,Kompally,3200,2307,  Apartment,3,
2498,Kompally,3200,3824,  Apartment,3,
2499,Kompally,3200,3621,  Apartment,4,
2500,Kompally,3200,3020,  Apartment,4,
2501,Kompally,3200,2731,  Apartment,3,
2502,Kompally,3200,2990,  Apartment,3,
2503,Kompally,3200,3001,  Apartment,3,
2504,Shaikpet,10296,1495,  Apartment,2,
2505,Shaikpet,10129,2595,  Apartment,3,
2506,Shaikpet,10162,2265,  Apartment,3,
2507,Shaikpet,10186,2070,  Apartment,3,
2508,Shaikpet,10126,2625,  Apartment,3,
2509,Shaikpet,10355,1300,  Apartment,2,
2510,Shaikpet,10217,1865,  Apartment,3,
2511,Shaikpet,10393,1200,  Apartment,2,
2512,Karmanghat,5244,1125,  Apartment,2,
2513,Karmanghat,5311,1026,  Apartment,2,
2514,Hastinapuram,5311,1026,  Apartment,2,
2515,Hastinapuram,5244,1125,  Apartment,2,
2516,Hastinapuram,5244,1125,  Apartment,2,
2517,Vanasthalipuram,5218,1188,  Apartment,2,
2518,Hayathnagar,5092,1512,  Apartment,3,
2519,Hayathnagar,5218,1188,  Apartment,2,
2520,Vanasthalipuram,5092,1512,  Apartment,3,
2521,Hayathnagar,5218,1188,  Apartment,2,
2522,Meerpet,5244,1125,  Apartment,2,
2523,Meerpet,5311,1026,  Apartment,2,
2524,Meerpet,5311,1026,  Apartment,2,
2525,Suchitra,7407,2700,  Villa,4,
2526,Bachupally,7916,2021,  Apartment,4,
2527,Bachupally,8348,1617,  Apartment,3,
2528,Bachupally,8499,1353,  Apartment,3,
2529,Bachupally,7575,1914,  Apartment,4,
2530,Bachupally,8189,1099,  Apartment,2,
2531,Narsingi,7099,1635,  Apartment,3,
2532,Narsingi,7099,1635,  Apartment,3,
2533,Narsingi,7099,2255,  Apartment,3,
2534,Narsingi,7099,2255,  Apartment,3,
2535,Narsingi,7099,1635,  Apartment,3,
2536,Narsingi,7099,1635,  Apartment,3,
2537,Narsingi,7099,2255,  Apartment,3,
2538,Narsingi,7099,2255,  Apartment,3,
2539,Narsingi,7099,1325,  Apartment,2,
2540,Narsingi,7099,1325,  Apartment,2,
2541,Narsingi,7099,1935,  Apartment,3,
2542,Narsingi,7099,1935,  Apartment,3,
2543,Miyapur,6800,2004,  Apartment,3,
2544,Miyapur,6800,2004,  Apartment,3,
2545,Miyapur,6800,1711,  Apartment,3,
2546,Miyapur,6800,1711,  Apartment,3,
2547,Miyapur,6800,1940,  Apartment,3,
2548,Miyapur,6800,1940,  Apartment,3,
2549,Miyapur,6800,2004,  Apartment,3,
2550,Miyapur,6800,2004,  Apartment,3,
2551,Miyapur,6800,1711,  Apartment,3,
2552,Miyapur,6800,1711,  Apartment,3,
2553,Miyapur,6800,1940,  Apartment,3,
2554,Miyapur,6800,1940,  Apartment,3,
2555,Miyapur,6800,1985,  Apartment,3,
2556,Miyapur,6800,1985,  Apartment,3,
2557,Miyapur,6800,1620,  Apartment,3,
2558,Miyapur,6800,1620,  Apartment,3,
2559,Miyapur,6800,2060,  Apartment,3,
2560,Miyapur,6800,2060,  Apartment,3,
2561,Miyapur,6800,1688,  Apartment,3,
2562,Miyapur,6800,1688,  Apartment,3,
2563,Miyapur,6800,1590,  Apartment,3,
2564,Miyapur,6800,1590,  Apartment,3,
2565,Habsiguda,7281,1860,  Apartment,3,
2566,Habsiguda,7353,1508,  Apartment,3,
2567,Uppal,7354,1860,  Apartment,3,
2568,Shamshabad,6321,1285,  Apartment,2,
2569,Shamshabad,6341,1420,  Apartment,2,
2570,Shamshabad,6417,1680,  Apartment,3,
2571,Shamshabad,6429,1625,  Apartment,3,
2572,Shamshabad,6337,1440,  Apartment,2,
2573,Bolarum,6650,842,  Apartment,2,
2574,Kukatpally,9000,1441,  Apartment,2,
2575,Kukatpally,9000,1208,  Apartment,2,
2576,Kukatpally,9000,1592,  Apartment,3,
2577,Kukatpally,9000,1931,  Apartment,3,
2578,Kondapur,10500,2710,  Apartment,3,
2579,Kondapur,10500,2510,  Apartment,3,
2580,Kondapur,10500,2475,  Apartment,3,
2581,Miyapur,4600,1500,  Apartment,3,
2582,Miyapur,4900,1530,  Apartment,3,
2583,Nanakramguda,8900,3000,  Apartment,4,
2584,Nanakramguda,8850,2270,  Apartment,3,
2585,Gachibowli,8913,2270,  Apartment,3,
2586,Gachibowli,8850,2270,  Apartment,3,
2587,muthangi,5919,1098,  Independent House,2,
2588,muthangi,5600,1500,  Independent House,2,
2589,Krishna Reddy Pet,3368,950,  Apartment,2,
2590,Aminpur,7407,1350,  Independent House,2,
2591,Rampally,4922,1422,  Independent House,2,
2592,Krishna Reddy Pet,3409,1100,  Apartment,2,
2593,Krishna Reddy Pet,8039,1530,  Independent House,2,
2594,Isnapur,8508,999,  Independent House,2,
2595,muthangi,6018,1080,  Independent House,2,
2596,Krishna Reddy Pet,3368,950,  Apartment,2,
2597,muthangi,4292,1980,  Independent House,3,
2598,Krishna Reddy Pet,3333,1200,  Apartment,2,
2599,Krishna Reddy Pet,3294,850,  Apartment,2,
2600,Krishna Reddy Pet,3300,1000,  Apartment,2,
2601,Aminpur,4000,1200,  Apartment,2,
2602,Krishna Reddy Pet,3478,1035,  Apartment,2,
2603,Aminpur,8518,1350,  Independent House,4,
2604,Aminpur,7984,1503,  Independent House,4,
2605,Aminpur,9592,1251,  Independent House,2,
2606,Krishna Reddy Pet,2907,1135,  Apartment,2,
2607,Krishna Reddy Pet,3818,1100,  Apartment,2,
2608,Aminpur,4363,1100,  Apartment,2,
2609,Krishna Reddy Pet,3333,1200,  Apartment,2,
2610,Indresham,7575,990,  Independent House,3,
2611,Miyapur,6000,1185,  Apartment,2,
2612,muthangi,4513,1440,  Independent House,2,
2613,Krishna Reddy Pet,4000,925,  Apartment,2,
2614,Aminpur,7034,1251,  Independent House,2,
2615,Krishna Reddy Pet,2990,1070,  Apartment,2,
2616,Isnapur,5555,1350,  Independent House,2,
2617,Aminpur,4400,1100,  Apartment,2,
2618,Boduppal,6388,1440,  Independent House,2,
2619,Mallampet,2869,1150,  Apartment,2,
2620,Nagole,6953,1323,  Independent House,2,
2621,Nagole,9980,1503,  Independent House,2,
2622,muthangi,4918,1728,  Independent House,2,
2623,Krishna Reddy Pet,3300,1030,  Apartment,2,
2624,Rampally,6111,1080,  Independent House,2,
2625,Rambagh Colony,5303,1584,  Independent House,2,
2626,Nagole,10666,1125,  Independent House,4,
2627,Krishna Reddy Pet,3166,1200,  Apartment,2,
2628,Indresham,3500,1000,  Apartment,2,
2629,Rampally,5777,1125,  Independent House,2,
2630,Krishna Reddy Pet,3454,1100,  Apartment,2,
2631,Indresham,3097,1130,  Apartment,2,
2632,Krishna Reddy Pet,3520,1250,  Apartment,2,
2633,Indresham,3525,1000,  Apartment,2,
2634,Krishna Reddy Pet,3304,1150,  Apartment,2,
2635,Krishna Reddy Pet,4400,1000,  Apartment,2,
2636,Krishna Reddy Pet,3511,1125,  Apartment,2,
2637,Krishna Reddy Pet,2947,950,  Apartment,2,
2638,Isnapur,5925,1350,  Independent House,2,
2639,Krishna Reddy Pet,3000,1000,  Apartment,2,
2640,Krishna Reddy Pet,3377,1125,  Apartment,2,
2641,Krishna Reddy Pet,3609,1025,  Apartment,2,
2642,Krishna Reddy Pet,3235,850,  Apartment,2,
2643,Somajiguda,14286,2100,  Apartment,3,
2644,Somajiguda,16667,3800,  Apartment,4,
2645,Somajiguda,14286,2100,  Apartment,3,
2646,Somajiguda,14286,2100,  Apartment,3,
2647,Somajiguda,16667,3800,  Apartment,4,
2648,Somajiguda,16667,3800,  Apartment,4,
2649,Indresham,4400,1000,  Apartment,2,
2650,Shankarpally Road,650,2000,  Villa,3,
2651,Kollur,8800,2230,  Villa,3,
2652,Ramachandrapuram,9375,1600,  Apartment,2,
2653,Chandanagar,7200,1250,  Apartment,2,
2654,Kondapur,7000,1770,  Apartment,3,
2655,Kondapur,6967,1220,  Apartment,2,
2656,Bowrampet,5000,1100,  Apartment,2,
2657,Dundigal,4538,617,  Apartment,1,
2658,Shamshabad,5600,1252,  Apartment,2,
2659,Nanakramguda,7599,1905,  Apartment,3,
2660,Nanakramguda,7599,1710,  Apartment,3,
2661,Nanakramguda,7599,1315,  Apartment,2,
2662,Nanakramguda,7599,2230,  Apartment,4,
2663,Nanakramguda,7599,1500,  Apartment,3,
2664,Padmarao Nagar,8009,2185,  Apartment,3,
2665,Pragathi Nagar Kukatpally,5200,1050,  Apartment,2,
2666,Yapral,8210,3320,  Villa,5,
2667,Ameenpur,5000,1240,  Apartment,2,
2668,Ameenpur,5000,1480,  Apartment,3,
2669,Ameenpur,5000,1420,  Apartment,3,
2670,Ameenpur,5000,1200,  Apartment,2,
2671,Ameenpur,5000,1165,  Apartment,2,
2672,Ameenpur,5000,1065,  Apartment,2,
2673,Kismatpur,11277,3600,  Villa,4,
2674,Bandlaguda Jagir,13548,3100,  Villa,4,
2675,Osman Nagar,12232,4300,  Villa,5,
2676,Shaikpet,8000,1950,  Apartment,3,
2677,Uppal Kalan,6505,1555,  Apartment,3,
2678,Uppal Kalan,6538,1430,  Apartment,3,
2679,Rajendra Nagar,14062,3200,  Villa,4,
2680,Manikonda,15188,5300,  Villa,5,
2681,Gopanpally,25423,5900,  Villa,4,
2682,Nallagandla Gachibowli,11000,3446,  Villa,4,
2683,Appa Junction,14082,4424,  Villa,5,
2684,Kismatpur,8998,4134,  Villa,5,
2685,Nallagandla Gachibowli,10500,3200,  Villa,4,
2686,Kokapet,20547,7300,  Villa,5,
2687,Narsingi,8199,2180,  Apartment,3,
2688,Narsingi,8199,2180,  Apartment,3,
2689,Narsingi,8199,2180,  Apartment,3,
2690,Narsingi,8199,2180,  Apartment,3,
2691,Narsingi,8199,3020,  Apartment,4,
2692,Narsingi,8199,3020,  Apartment,4,
2693,Narsingi,8199,1810,  Apartment,3,
2694,Narsingi,8199,1810,  Apartment,3,
2695,Narsingi,8199,1915,  Apartment,3,
2696,Narsingi,8199,1915,  Apartment,3,
2697,Narsingi,8199,1750,  Apartment,3,
2698,Narsingi,8199,1750,  Apartment,3,
2699,Narsingi,8199,2160,  Apartment,3,
2700,Narsingi,8199,2160,  Apartment,3,
2701,Narsingi,8199,2165,  Apartment,3,
2702,Narsingi,8199,2165,  Apartment,3,
2703,AS Rao Nagar,5822,1580,  Apartment,3,
2704,Kollur,4771,3500,  Villa,4,
2705,Kollur,4714,3500,  Villa,4,
2706,Kollur,5000,4400,  Villa,4,
2707,Kollur,4909,4400,  Villa,4,
2708,Tellapur,4909,4400,  Villa,4,
2709,Tellapur,4975,3035,  Villa,4,
2710,Tellapur,4704,4400,  Villa,4,
2711,Velimela,7485,3874,  Villa,4,
2712,Shankarpally Road,2400,500,  Apartment,1,
2713,Krishna Reddy Pet,9523,1260,  Independent House,4,
2714,Boduppal,11111,1530,  Independent House,4,
2715,Gajularamaram,5127,1375,  Apartment,3,
2716,Kukatpally,6484,1300,  Apartment,2,
2717,Kokapet,5999,1815,  Apartment,3,
2718,Gajularamaram,4662,1555,  Apartment,3,
2719,Kukatpally,5812,1101,  Apartment,2,
2720,Kukatpally,5747,1044,  Apartment,2,
2721,Kukatpally,5600,1200,  Apartment,2,
2722,Miyapur,6913,1935,  Apartment,3,
2723,Kukatpally,5600,1250,  Apartment,2,
2724,Gajularamaram,4927,1070,  Apartment,2,
2725,Kondapur,7491,1220,  Apartment,2,
2726,Kondapur,7395,1770,  Apartment,3,
2727,Kukatpally,6826,1840,  Apartment,3,
2728,Krishna Reddy Pet,7686,1431,  Independent House,2,
2729,Patancheru,8000,1125,  Independent House,4,
2730,Pati,3500,1420,  Apartment,2,
2731,Miyapur,6000,1175,  Apartment,2,
2732,Shankarpally Road,2400,500,  Apartment,1,
2733,Kollur,4901,3040,  Villa,4,
2734,Nallagandla Gachibowli,7305,1255,  Apartment,2,
2735,Nallagandla Gachibowli,7305,1255,  Apartment,2,
2736,Nallagandla Gachibowli,7303,1855,  Apartment,4,
2737,Nallagandla Gachibowli,7303,1855,  Apartment,4,
2738,Nallagandla Gachibowli,7305,1180,  Apartment,2,
2739,Nallagandla Gachibowli,7305,1180,  Apartment,2,
2740,Nallagandla Gachibowli,7304,1695,  Apartment,3,
2741,Nallagandla Gachibowli,7304,1695,  Apartment,3,
2742,Nallagandla Gachibowli,7303,1810,  Apartment,4,
2743,Nallagandla Gachibowli,7303,1810,  Apartment,4,
2744,Nallagandla Gachibowli,7305,1320,  Apartment,3,
2745,Nallagandla Gachibowli,7305,1320,  Apartment,3,
2746,Uppal Kalan,7501,2632,  Apartment,3,
2747,Uppal Kalan,7501,2632,  Apartment,3,
2748,Uppal Kalan,7501,2934,  Apartment,4,
2749,Uppal Kalan,7501,2934,  Apartment,4,
2750,Uppal Kalan,7501,3103,  Apartment,4,
2751,Uppal Kalan,7501,3103,  Apartment,4,
2752,Uppal Kalan,7503,1656,  Apartment,3,
2753,Uppal Kalan,7503,1656,  Apartment,3,
2754,Habsiguda,7279,1860,  Apartment,3,
2755,Kollur,5000,3040,  Villa,4,
2756,Kollur,4824,3565,  Villa,4,
2757,Somajiguda,14286,2100,  Apartment,3,
2758,Somajiguda,16667,3800,  Apartment,4,
2759,Narsingi,6903,1540,  Apartment,3,
2760,Narsingi,6903,1540,  Apartment,3,
2761,Narsingi,6901,2240,  Apartment,3,
2762,Narsingi,6901,2240,  Apartment,3,
2763,Hayathnagar,6494,2186,  Villa,3,
2764,Indresham,4411,1180,  Apartment,2,
2765,Indresham,4423,1120,  Apartment,2,
2766,Uppal Kalan,6476,1735,  Apartment,3,
2767,Uppal Kalan,6499,1335,  Apartment,2,
2768,Gajularamaram,5312,1120,  Apartment,2,
2769,Gajularamaram,5333,1050,  Apartment,2,
2770,Gajularamaram,5318,1100,  Apartment,2,
2771,Miyapur,5745,1100,  Apartment,2,
2772,Miyapur,5733,1125,  Apartment,2,
2773,Miyapur,5768,1055,  Apartment,2,
2774,Chandanagar,6007,1350,  Apartment,3,
2775,Kondapur,9510,1960,  Apartment,3,
2776,Chandanagar,6019,1310,  Apartment,3,
2777,Indresham,4376,1420,  Apartment,3,
2778,Indresham,4424,1115,  Apartment,2,
2779,Indresham,4367,1490,  Apartment,3,
2780,Chandanagar,6178,950,  Apartment,2,
2781,Chandanagar,6078,1150,  Apartment,2,
2782,Patancheru,8445,1184,  Independent House,1,
2783,Patancheru,7408,2362,  Independent House,4,
2784,Ameenpur,5605,1480,  Apartment,3,
2785,Aminpur,5650,1140,  Apartment,2,
2786,Aminpur,5649,1145,  Apartment,2,
2787,Gajularamaram,5318,1100,  Apartment,2,
2788,Patancheru,9009,1221,  Independent House,2,
2789,Patancheru,8695,1725,  Villa,3,
2790,Patancheru,7658,1828,  Independent House,4,
2791,Gajularamaram,5312,1120,  Apartment,2,
2792,Gajularamaram,5327,1375,  Apartment,3,
2793,Gajularamaram,5269,1300,  Apartment,2,
2794,Gajularamaram,5333,1050,  Apartment,2,
2795,Yousufguda,9001,1595,  Apartment,3,
2796,Kukatpally,7400,1250,  Apartment,2,
2797,Ramachandra Puram,6492,2035,  Apartment,3,
2798,Kandukur,5285,3500,  Villa,6,
2799,Serilingampally,5032,2285,  Villa,4,
2800,Kollur,4900,1370,  Apartment,2,
2801,Kandukur,3425,5400,  Villa,4,
2802,Pocharam South Hyderabad,7111,2250,  Villa,4,
2803,Pocharam South Hyderabad,5000,1972,  Villa,4,
2804,Kukatpally,7384,1300,  Apartment,2,
2805,Chandanagar,6492,2035,  Apartment,3,
2806,Uppal Kalan,6384,2066,  Apartment,3,
2807,Kondapur,9431,1855,  Apartment,3,
2808,Kondapur,9431,1855,  Apartment,3,
2809,Kondapur,10500,1940,  Apartment,3,
2810,Chandanagar,6007,1350,  Apartment,3,
2811,Miyapur,5733,1125,  Apartment,2,
2812,Kondapur,10500,2127,  Apartment,3,
2813,Chandanagar,6019,1310,  Apartment,3,
2814,Kondapur,10500,1654,  Apartment,3,
2815,Chandanagar,6531,1275,  Apartment,2,
2816,Miyapur,5745,1100,  Apartment,2,
2817,Ameenpur,5605,1480,  Apartment,3,
2818,Chandanagar,5966,1500,  Apartment,3,
2819,Miyapur,5768,1055,  Apartment,2,
2820,Chandanagar,6178,950,  Apartment,2,
2821,Chandanagar,6078,1150,  Apartment,2,
2822,Patancheru,7408,2362,  Independent House,4,
2823,Gajularamaram,5333,1050,  Apartment,2,
2824,Chandanagar,5996,2700,  Apartment,3,
2825,Chandanagar,6213,1265,  Apartment,2,
2826,Kokapet,6700,1310,  Apartment,2,
2827,Kokapet,6700,1960,  Apartment,3,
2828,Narsingi,6700,1350,  Apartment,2,
2829,Puppalaguda,6500,1755,  Apartment,3,
2830,Gachibowli,5500,2410,  Apartment,3,
2831,Kukatpally,7100,1250,  Apartment,2,
2832,Kukatpally,7180,1250,  Apartment,2,
2833,Kollur,4599,1363,  Apartment,2,
2834,Manchirevula,5995,1251,  Apartment,2,
2835,Kollur,13002,3635,  Villa,3,
2836,Gandipet,7299,3830,  Apartment,3,
2837,Gandipet,7299,1765,  Apartment,3,
2838,Narsingi,6789,2255,  Apartment,3,
2839,Narsingi,6789,1635,  Apartment,3,
2840,Pati,5299,1285,  Apartment,2,
2841,Gandipet,7295,1766,  Apartment,3,
2842,Gandipet,7300,1765,  Apartment,3,
2843,Gandipet,7300,2040,  Apartment,3,
2844,Kokapet,6100,1290,  Apartment,2,
2845,Puppalaguda,5800,1157,  Apartment,2,
2846,Puppalaguda,5810,1126,  Apartment,2,
2847,Tellapur,5300,1434,  Apartment,3,
2848,Puppalaguda,5800,1126,  Apartment,2,
2849,Manchirevula,6300,1250,  Apartment,2,
2850,Puppalaguda,5800,1280,  Apartment,2,
2851,Puppalaguda,5800,1128,  Apartment,2,
2852,Puppalaguda,5800,1346,  Apartment,2,
2853,Puppalaguda,5800,1157,  Apartment,2,
2854,Kollur,3300,1700,  Apartment,3,
2855,Puppalaguda,5600,1586,  Apartment,3,
2856,Puppalaguda,6100,1945,  Apartment,3,
2857,Puppalaguda,5000,1630,  Apartment,3,
2858,Puppalaguda,5000,1600,  Apartment,3,
2859,Puppalaguda,6100,2785,  Apartment,3,
2860,Puppalaguda,6900,1945,  Apartment,3,
2861,Puppalaguda,6900,1600,  Apartment,3,
2862,Puppalaguda,6900,2785,  Apartment,3,
2863,Puppalaguda,6100,1630,  Apartment,3,
2864,Kollur,5200,1260,  Apartment,2,
2865,Kollur,5200,2500,  Apartment,3,
2866,Kollur,4999,1635,  Apartment,3,
2867,Kollur,4999,1640,  Apartment,3,
2868,Kollur,4999,1295,  Apartment,2,
2869,Tellapur,4800,1205,  Apartment,2,
2870,Tellapur,5300,1247,  Apartment,2,
2871,Tellapur,5300,1205,  Apartment,2,
2872,Kollur,5000,1700,  Apartment,3,
2873,Tellapur,5300,1205,  Apartment,2,
2874,Tellapur,5300,1212,  Apartment,2,
2875,Tellapur,5300,1257,  Apartment,2,
2876,Tellapur,5300,1257,  Apartment,2,
2877,Tellapur,5300,1205,  Apartment,2,
2878,Tellapur,5300,1247,  Apartment,2,
2879,Tellapur,5300,1263,  Apartment,2,
2880,Tellapur,5300,1190,  Apartment,2,
2881,Tellapur,5300,1268,  Apartment,2,
2882,Bachupally,5900,1193,  Apartment,2,
2883,Bachupally,6000,1450,  Apartment,3,
2884,Bachupally,6000,1193,  Apartment,2,
2885,Bachupally,6000,1193,  Apartment,2,
2886,Tellapur,5300,1125,  Apartment,2,
2887,Tellapur,5300,1100,  Apartment,2,
2888,Tellapur,5300,1121,  Apartment,2,
2889,Kollur,4799,1915,  Apartment,3,
2890,Kollur,4799,1775,  Apartment,3,
2891,Kollur,4799,1625,  Apartment,3,
2892,Kollur,4799,1195,  Apartment,2,
2893,Kollur,4799,1295,  Apartment,2,
2894,Kollur,4799,3585,  Apartment,4,
2895,Kollur,4799,3300,  Apartment,4,
2896,Kollur,4999,1295,  Apartment,2,
2897,Kollur,4999,1875,  Apartment,3,
2898,Kollur,4999,1825,  Apartment,3,
2899,Kollur,4995,1420,  Apartment,2,
2900,Kollur,4999,1600,  Apartment,3,
2901,Kollur,4999,1420,  Apartment,2,
2902,Kollur,4999,1545,  Apartment,3,
2903,Kollur,4999,2000,  Apartment,3,
2904,Kollur,4999,1700,  Apartment,3,
2905,Kollur,4686,1600,  Apartment,3,
2906,Kollur,4999,1500,  Apartment,3,
2907,Kollur,4999,1300,  Apartment,2,
2908,Kollur,4999,2155,  Apartment,3,
2909,Kollur,5002,1654,  Apartment,3,
2910,Kollur,4999,1655,  Apartment,3,
2911,Kollur,4999,1855,  Apartment,3,
2912,Kollur,4999,2445,  Apartment,3,
2913,Kollur,4999,2155,  Apartment,3,
2914,Kollur,4999,1495,  Apartment,3,
2915,Kollur,4999,2110,  Apartment,3,
2916,Kollur,4999,2195,  Apartment,3,
2917,Kollur,4999,1895,  Apartment,3,
2918,Kollur,4999,1595,  Apartment,3,
2919,Kollur,4999,2425,  Apartment,3,
2920,Kollur,4999,2040,  Apartment,3,
2921,Tellapur,5300,1434,  Apartment,3,
2922,Kollur,4999,2445,  Apartment,3,
2923,Bachupally,6000,1193,  Apartment,2,
2924,Bachupally,6000,1450,  Apartment,3,
2925,Puppalaguda,5800,1057,  Apartment,2,
2926,Puppalaguda,5800,1157,  Apartment,2,
2927,Tellapur,5300,1286,  Apartment,2,
2928,Kollur,4999,1900,  Apartment,3,
2929,Puppalaguda,6700,1600,  Apartment,3,
2930,Kollur,4599,1940,  Apartment,3,
2931,Kollur,4599,1980,  Apartment,3,
2932,Kollur,4599,2650,  Apartment,3,
2933,Manchirevula,6300,2063,  Apartment,3,
2934,Bachupally,6000,1193,  Apartment,2,
2935,Bachupally,6000,1193,  Apartment,2,
2936,Bachupally,6000,1450,  Apartment,3,
2937,Puppalaguda,5600,1155,  Apartment,2,
2938,Manikonda,5600,1155,  Apartment,2,
2939,Kollur,4803,1294,  Apartment,2,
2940,Tellapur,5300,1257,  Apartment,2,
2941,Puppalaguda,5900,1126,  Apartment,2,
2942,Puppalaguda,6700,1630,  Apartment,3,
2943,Kollur,4999,2200,  Apartment,3,
2944,Puppalaguda,6700,1600,  Apartment,3,
2945,Puppalaguda,6700,1630,  Apartment,3,
2946,Puppalaguda,6700,2785,  Apartment,3,
